id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,has_scored,sentiment_score
4854649826316979,MmVGSqvkL,7322708012,想取一个很长很长很长很长的名字,#女权#关于每到新年，“耙耳朵”的大火，首先我觉得他们很棒，是负责任的男人，是很棒的丈夫们。其次我感到悲哀，暂且不说像“耙耳朵”那样，对自己的妻子尽心尽力，有多少男人，尊重自己都妻子？对于“耙耳朵”，人们羡慕，人们赞赏，是因为这样的好男人很棒，但是太少了。,,,,女权,0,4,3,2023-01-05 20:36,nova5Pro人像超级夜景,,,,True,0.9909717809225456
4854608449245953,MmUC8CNih,7448572365,Aldmoulie,#女权#你们要是真有一天能把女性地位抬的比男性高，我还佩服你们，谢谢你们，不能的话，就别再装可怜狗叫了，很烦,,,,女权,0,0,0,2023-01-05 17:51,vivo Y31s 千元5G,,,,True,0.07272475038701298
4854474440706937,MmR802XUd,7238406066,曲枂,一个有趣的常识：如果把大象栓起来，一开始大象会努力挣扎，发现怎么挣扎也逃脱不了以后，大象就不会再挣扎了。这时，即使把大象腿上的身子解开，大象也不会逃跑。这难道是大象的错吗？#女权##娇妻#,,,,"女权,娇妻",0,0,1,2023-01-05 08:59,iPhone客户端,,,,True,0.9999988259145249
4854350659192639,MmNUlCzqn,7736538212,是沈家阿七啊,给你们补上这份打压#女权##男女平等#,,,,"女权,男女平等",0,0,0,2023-01-05 00:47,OPPO Reno7 Pro 5G,"['https://wx3.sinaimg.cn/large/008rzJ0oly1h9s3kdn7rmj30jh33jwkv.jpg', 'https://wx2.sinaimg.cn/large/008rzJ0oly1h9s3kdwvwrj30jz22q41p.jpg']",,,True,0.23000122662128875
4854323148494467,MmNbYzDNx,5797050747,鱼溺与海拥i,ch女人被美丽的刑具扼住多少年！题记：女人不能踩着男人的脚印来亦步亦随。男权社会中男性的社会性别特质，并不能让女人和男人一样获得资源倾斜，只能说融入男性群体，弱化社会性别甚至生理性别特征，作为“画皮鬼”来争取平等资源。女人还是要走出一条属于女性的坚定道路，能够作为真实女性获得平等权益，上述现实只是现阶段无奈的让步罢了！🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅美和女人现在相生相克。职场女性为了打造专业的职场形象，会模糊性别，会放弃展示美，不公开追求美。因为美女在职场并不是好事，默认伴随“专业能力不那么专业”、“没有事业心”、“不能走入竞争场啊”之类头衔。女性在职场，就是这样被先入为主评判，被刻板印象限制，被蝇头小利哄住。女性的美，此时就是那么垃圾。“服美役”不是你想服就随便服的。大部分人都生活在凡尘俗世，避免不了的陷入一种困境。美的张扬夺目、美的众所周知不行，而女性不美呢，仅是健康整洁也不行。不美又要被轻视，被评判，失去了这项特质就被男人轻易审视和评判。中国人在传统中追求女人温婉含蓄的美。可以理解为社交中没有攻击性的“一般漂亮”+在两性私密场合被挖掘的“性感美丽”。这就是封建传统中男人对女人的要求。女人要像男人手中的藏品一样，太多人竞拍就容易易手，所以最好低调保管到家庭单位中，并主动增值任其调用。如果说这是封建落后，那现在呢现实呢?你说，我不管美不美的，我就搞事业。可是事业搞到一定程度，又被男人拉进两性关系的圈子里头被评头论足，“有没有男人要”再次成为公认的价值标准。明明男人对于事业那么热衷，却认为女人获取事业成就不值一提，想方设法地让女人被动、主动得进入家庭角色。所以，作为女人你感觉如何呢？#girlspower##女权##女权就是性别恐怖主义#我感觉被装在笼子里头很多年了，不求“有用”，但求“无功”。与之相伴的是“自觉奉献”和“做个圣女”。,,,,"girlspower,女权,女权就是性别恐怖主义",0,0,0,2023-01-04 22:58,Redmi K30 Pro 真旗舰,,,,True,1.0
4854237345351666,MmKXAmsdc,7371451531,目标450-,#女权#震惊了，因为卡塔尔视频有个人评论说什么新时代女性要嫁卡塔尔那个国家。我就说并没有啊，都不一定结婚的，都不怎么关注卡塔尔。莫名其妙的我又没攻击男性这个小男生就评论说去当奴隶，我说你要去就去呗，没人拦着。他又说我抖音名字一看就不像好人。因为我抖音名字是学好英语，的英文。因为要考四六级英语不太好改的，他就感觉把那两条删了，又把我发的评论截图放他们群里嘚瑟。要是男的都像他这样，真的好悲哀。我又没攻击男的，他总是恶意揣测人生攻击。🤣🤣🤣为什么恶意这么大，都没那男的那些个没到二十四的或者老大不小的就充满了恶意。,,,,女权,0,7,3,2023-01-04 17:17,Note 9,"['https://wx1.sinaimg.cn/large/0082RRhxly1h9rqixmcvxj30u00fjgnj.jpg', 'https://wx1.sinaimg.cn/large/0082RRhxly1h9rqixt3sfj30u00g2jtl.jpg', 'https://wx3.sinaimg.cn/large/0082RRhxly1h9rqiy0nkgj30u00f2abz.jpg', 'https://wx4.sinaimg.cn/large/0082RRhxly1h9rqiyaodaj30u00iowhr.jpg', 'https://wx4.sinaimg.cn/large/0082RRhxly1h9rqiyhvl5j30u00awgna.jpg', 'https://wx1.sinaimg.cn/large/0082RRhxly1h9rqiyqd38j30u009m3zq.jpg']",,,True,0.00024153934381698772
4854007401285163,MmEYI5okr,7618918362,黑桃皇--A,#女权##女权主义##女性##女性成长#,,,,"女权,女权主义,女性,女性成长",0,1,0,2023-01-04 02:03,nova8 我由我掌镜,['https://wx1.sinaimg.cn/large/008jCcI2ly1h9r05kn0x3j30za6abtnp.jpg'],,,True,0.5935803147662869
4854006990775884,MmEY33fQg,7618918362,黑桃皇--A,#女权##女权主义##女性##女性成长#,,,,"女权,女权主义,女性,女性成长",0,0,0,2023-01-04 02:01,nova8 我由我掌镜,['https://wx1.sinaimg.cn/large/008jCcI2ly1h9r03jgln4j30zk1bejv3.jpg'],,,True,0.5935803147662869
4853855080417935,MmB121KIT,7799836989,姜子文明冲浪,很难不希望新冠杀光女权#女权##真女权#,,,,"女权,真女权",0,0,0,2023-01-03 15:58,iPhone客户端,,,,True,0.011541353046861103
4724486743786118,Lah0KfSWq,6638034417,Peacegotbasic,"如果你是女孩，则须要玩这个游戏。那是什么游戏呢？你可以漂亮，可爱，性感，但不能表现得太聪明，不能有意见。Ifyou’reagirl,youhavetoplaythegame.Whatisthatgame?Youareallowedtobeprettyandcuteandsexy.Butdon’tacttoosmart.Don’thaveanopinion.”麦当娜的一段发言我看到后，没办法不截屏下来想要分享第一句是：“PeoplesayI’mcontroversial.ButIthinkthemostcontroversialthingIhaveeverdoneistostickaround.....”人们都说我富有争议，但是我认为我做的最富有争议的一件事是坚持。接下来的都在截屏里。这是2016年的Women’sMarch的发言，我没怎么截过屏，最后她说了谢谢，我没有截到。#女权#LPeacegotbasic的微博视频",,,,女权,0,0,0,2022-01-11 16:14,iPhone客户端,,"http://f.video.weibocdn.com/o0/004rgM64lx07SSwUQh1u01041200yksL0E010.mp4?label=mp4_720p&template=720x1236.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1673013258&ssig=fY%2FvvdHY8C&KID=unistore,video",,True,0.9895413633737693
