id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,has_scored,sentiment_score
4854255350973370,MmLqD45dw,7500471613,爱好杀楠人,看看男人有多敏感。而那么多男权言论，“兄弟之间两肋插刀”下面咋没女生说“不应该只有兄弟两肋插刀，应该是姐妹之间两肋插刀，人和人之间两肋插刀”而女人们一说“girlshelpgirls”。总有下头男来抖机灵，说“boyshelpboys”还有男权女也来“不只是girls，应该是人帮助人”#girlshelpgirls##姐妹之间两肋插刀##兄弟##男权##敏感#,,,,"girlshelpgirls,姐妹之间两肋插刀,兄弟,男权,敏感",0,0,0,2023-01-04 18:28,iPhone客户端,,,,True,5.702063249657385e-05
4853796280210696,Mmzuc0SOk,6329239722,蛋黄玛丽苏,"女性地位从来不存在什么越来越高，这是男人给女人的定义。男人希望女人在家里，希望女人体贴他们，满足他们的各项要求，是因为在过去，古时候，他们给女人提供物质和精神上的需求。而现在，男性提供的东西越来越少，保护也越来越少，女性的不安全感越来越强，她们开始希望用自己的头脑来赢取生产资料。至少我觉得，目前，大部分青年女性都是这么想的。因为生理，心理的原因，女性不愿理坐以待毙，像机器一样生育，这是值得推崇的——因为男性在很多情况下真的没有女性在生育上付出的更多（但并不排除少数男性很照顾家庭）。为什么中国、女性、地位越来越高？中国开始接受西方思想，开始崇尚和接受个人英雄主义，当女性看到那些脱离家庭的女性英雄过得比她们更好，她们为什么不去争取呢？当在家庭里接受压迫和不待见时，她们是否是想脱离苦海，提出抗议，维护自身的权益呢？然而，这些还远远不够，因为父权主义的根深蒂固导致无论男性还是女性都认为男性更具优越感，也就是大男子主义的思想。现在的女权主义，还有更加细分化的田园女权主义，都是在父权社会思想上的。田园女权主义是男权主义的倒置版，而我们希望建设的是一个平等开阔的世界，那么它就具有一定的错误，但不可否认的是，它为女性追求奠定了一个踏板，是我们争取的基石之一。女权这个词，和男权似乎不太一样。男权是男性优越感，而女权更加倡导平权，我认为，这是值得深思的，因为男性真的认为他们比女性更加聪明，事实上几千年的思想是体力的优越，不是智力和能力。女性地位总有一天会和男性平起平坐，因为体力不再是生存的必需品，你可以这样认为。这不是性别和我们的努力决定的，而是整个社会和科技决定的。#女权##女权不是女性至上,是人权平等##女性##男权##女权主义#",,,,"女权,女权不是女性至上,是人权平等,女性,男权,女权主义",0,0,0,2023-01-03 12:04,iPhone客户端,,,,True,1.0
4850502347003749,MlbNotnZH,7215373886,不画画的狗子,做女权当道的男权异类职责在于淦暴姆人#男权##女权#,,,,"男权,女权",0,0,1,2022-12-25 09:55,iPhone客户端,,,,True,0.1379916609997055
4843643225507112,Mijmin6Eo,6094058405,橘梗气泡水,我一向是倡导男女平等的时至今日才明白那可能是我认识的男性少了什么女quan男quan在一年前我看起来觉得很sb的东西今天想拿出来说说了男性不能生育这一个事情上来说就没法平等了唐山如果是女打男的话我能些许平衡点有些男的分手后提出退还我给你买的东西这个事让我觉得爱情也变成了利益交换你不能跟我继续睡觉了那么请你还给我的金钱这种还好些还有很多白嫖的觉得你也想被睡不被我睡也有别人睡你不说掺杂男女的感情的偶尔遇到的普通男人仗着自己开个奥迪a4侮辱你怎么开个国产车的纵然他已经不小年纪刷车排队加塞的只因为他是个男人他觉得他车技好呗礼尚往来花个100块钱买点水果的纵然你付出的更多的也要拿出来议论一番觉得自己拥有大碗宽面一般的脸蛋儿大腹便便的大金链子就能霸道横行的反而我遇到的女性温柔知性素质可能也是我的问题让我遇不到正常的男性人比如昨晚的图片#女权##男权#仅代表个人观点世界和平,,,,"女权,男权",0,0,1,2022-12-06 11:39,iPhone客户端,['https://wx2.sinaimg.cn/large/006Eq2YBly1h8txuovkicj30mz14542w.jpg'],,,True,0.9999847653224608
4843606940064789,MiipM0gQZ,7463986243,初遇lucky-hada,这种有处n情节的男权，又封建又穷。想要专注生育价值的传统女性，奈何物质穷；想找彩礼费低或者嫁妆高的新时代女性，奈何精神穷。#性别歧视##封建思想##男权##女权#,,,,"性别歧视,封建思想,男权,女权",0,0,0,2022-12-06 09:15,荣耀V20 4800万3D相机,['https://wx1.sinaimg.cn/large/008987MTgy1h8ttgwbd23j30u007vjsk.jpg'],,,True,0.9999982376281287
4841211531890940,Mhi6d7VV2,2248925174,IstitutoMarangoni,#马兰戈尼#ZETA年终毕业大秀｜“我是个怪兽吗“&“朦胧”设计系列耿敏敏MINMINSHEN耿敏敏将自己的#毕业设计#系列命名为「我是个怪兽吗 AmIamonster?」，这个系列的灵感来自于#美杜莎#的一个古老故事。由于波塞冬的强迫，以及雅典娜的诅咒，在世人眼中，美杜莎是一个凶猛的怪物，但人们没有看到的是她的痛苦。“我想要表达的是一个可怜怪物的美杜莎，她的美丽并不是她的错，只是因为#男权#力量的强大以及所谓的正义形象的背后的邪恶，最终被牺牲的女性。是一个通过可怜的美杜莎的系列，而引发思考的作品。” ——耿敏敏从被诅咒、被暴力、彻底变成怪物这三个角度来转化设计点，包括染色的滴胶片、破碎拼接的面改、扭曲的管子构建的服装廓形等。最终把这些设计点通过服装体现出来来表达系列的主题。申雪延 XUEYANSHEN“朦胧 Veiled”作为申雪延#设计#系列的主题，这个系列的灵感来自于路边的脚手架板材。它在风中飘动，让人无法想象它在下一刻会是什么形状。这也让我们联想到印度游牧部落Rabari，他们不分季节，追着风寻找草地，缓慢前行，不知道目的地会在哪里。“我在服装的廓形上体现出一种被风吹动的样子，例如翘起的裙摆和掀起的上衣；同时还提取了游牧民族传统服饰上的条纹印花作为设计元素，以针织的方式诠释出来，并用一些针织技法来展现出游牧的感觉，用针织技法和#游牧民族#的条纹印花以及翘起衣服造型来展示游牧民族迎风前行的样子。”——申雪延#马兰戈尼#时尚#服装设计##秀场回顾##上海时装周##OOTD#,,上海·马兰戈尼(上海),,"马兰戈尼,毕业设计,美杜莎,男权,设计,游牧民族,服装设计,秀场回顾,上海时装周,OOTD",0,0,1,2022-11-29 18:37,iPhone 12,"['https://wx1.sinaimg.cn/large/860bdff6ly1h8m2n5ium8j20ns0vk4p9.jpg', 'https://wx2.sinaimg.cn/large/860bdff6ly1h8m6koluw6j21h327thdt.jpg', 'https://wx4.sinaimg.cn/large/860bdff6ly1h8m6kpzp49j21h9282e81.jpg', 'https://wx3.sinaimg.cn/large/860bdff6ly1h8m2n4wvf8j21gd26q4q4.jpg', 'https://wx3.sinaimg.cn/large/860bdff6ly1h8m6kr82d5j21i12974qp.jpg', 'https://wx4.sinaimg.cn/large/860bdff6ly1h8m6knntgtj21ip2a84qp.jpg']",,,True,1.0
4838333647427396,Mg5esvacI,5969397358,一条老蛇狸,"我为何说你们女的只会在微博上乱喷男女不平等、骂男的没有任何用处，甚至于说你们不愿意生孩子最终赢的都是我们男性，我来一一分析，看不看懂不懂是你们的事（语句不通顺处自己理解，我懒得多花时间和你们解释）1.仇恨只会产生仇恨，恐惧带来的也只会是恐惧，而语言是利刀2.被不公平的一方只有言论的叫嚣的平等，而没有自身能力超越施予不公一方是永远不可能获得平等的3.符合中国国情的公平平等才是我们真正需要的公平平等，而国外带来的总会夹带私货和水土不服4.大多数努力超越者没时间在网络上发言，因为大多数发言叫嚣的人在现实中从不努力，好的平等都有现实做底5.不说其他，单论男女对立这个问题的出现是否会有背后推手？舆论高低下方的阴沟里又有多少老鼠攒动？6.享受福利的同时应该承担相同的责任7.不生育几乎等同于放弃生育权，假如放弃了生育权，那你们女性真正能掌控的权利还剩多少？8.科技发展至今真以为离了女性男性就不能生育了？不过是钱多钱少的问题9.以偏概全是贬义词，以小见大才是中性词…再有多自己去想，上面的都想不明白还说啥呢，我只能尽量的想让你们走在正路上罢了。#男女平等##女权##极端女权已成网络毒瘤##男权##闫妮式女权至上##女权不是女性至上,是人权平等##责任##生育##三孩生育政策来了#",,,,"男女平等,女权,极端女权已成网络毒瘤,男权,闫妮式女权至上,女权不是女性至上,是人权平等,责任,生育,三孩生育政策来了",0,0,0,2022-11-21 20:01,nova 5i Pro,,,,True,0.999997772052275
4837885591684706,MfTzN74gG,7256969181,坠江的斯普特尼克恋人,#男权#,,,,男权,0,1,2,2022-11-20 14:21,iPhone,"['https://wx1.sinaimg.cn/large/007V7vc1gy1h8bkkzlfs1j30u00u0q62.jpg', 'https://wx4.sinaimg.cn/large/007V7vc1gy1h8bkl0fccfj31h11lbdrp.jpg']",,,True,0.0826192640951886
4835827206594493,Mf21OrFwN,7769178534,读女性主义写男性主义,#宫本主义##宫本家##撇开事实不谈##女权#说男性收入高，但是女性却是消费主力军（比如WB，综艺节目，淘宝热搜），女性消费主义需要大量💰，那💰是怎么流动到女性的呢？难道会自己凭空产生吗？那么钱还是男性提供的，也就是#男权#剥削理论并不合理，是虚伪的。男性寿命短，女性却有更多退休补助。#拥有特权的人是看不见特权的#,,,,"宫本主义,宫本家,撇开事实不谈,女权,男权,拥有特权的人是看不见特权的",0,0,3,2022-11-14 22:01,vivo X80,"['https://wx3.sinaimg.cn/large/008tMGfcly1h84ztdj75rj30u01uo15v.jpg', 'https://wx1.sinaimg.cn/large/008tMGfcly1h84zur2lv9j30u01uo7bf.jpg', 'https://wx1.sinaimg.cn/large/008tMGfcly1h84zx02ei5j30qo107af1.jpg', 'https://wx2.sinaimg.cn/large/008tMGfcly1h84zy7s2luj30u01uotes.jpg', 'https://wx1.sinaimg.cn/large/008tMGfcly1h8503yi6pbj30u01uogt6.jpg', 'https://wx4.sinaimg.cn/large/008tMGfcly1h84ztetjg3j30u01uonbs.jpg']",,,True,0.26147909650261913
4835509936851297,MeTM5sKkN,7558877640,教你如何做好男人,毁掉一个郭家和民族，就从毁掉男人的廉耻，让男人造谣开始。什么时候男人天天用男女之事造谣别人，什么时候男人就完了走下坡路了，这个郭家和民族也就完了#男权##男拳之祸不该在内地复现#,,,,"男权,男拳之祸不该在内地复现",0,0,3,2022-11-14 01:01,三星Galaxy A51 5G,['https://wx1.sinaimg.cn/large/008fyhnily1h83zpvqu7aj30u01uo4dg.jpg'],,,True,0.8950506202163926
